timestamp,elapsed_seconds,ir,bpm,avg_bpm,mic,note,raw
2026-07-05T15:58:28.525,17.943,123353,22.71,16,415,,"IR=123353, BPM=22.71, Avg BPM=16, MIC=415"
2026-07-05T15:58:28.544,17.962,123340,22.71,16,389,,"IR=123340, BPM=22.71, Avg BPM=16, MIC=389"
2026-07-05T15:58:28.563,17.982,123368,22.71,16,383,,"IR=123368, BPM=22.71, Avg BPM=16, MIC=383"
2026-07-05T15:58:28.582,18.000,123398,22.71,16,399,,"IR=123398, BPM=22.71, Avg BPM=16, MIC=399"
2026-07-05T15:58:28.602,18.020,123453,22.71,16,373,,"IR=123453, BPM=22.71, Avg BPM=16, MIC=373"
2026-07-05T15:58:28.621,18.039,123515,22.71,16,426,,"IR=123515, BPM=22.71, Avg BPM=16, MIC=426"
2026-07-05T15:58:28.640,18.059,123530,22.71,16,364,,"IR=123530, BPM=22.71, Avg BPM=16, MIC=364"
2026-07-05T15:58:28.659,18.078,123552,22.71,16,361,,"IR=123552, BPM=22.71, Avg BPM=16, MIC=361"
2026-07-05T15:58:28.678,18.096,123557,22.71,16,390,,"IR=123557, BPM=22.71, Avg BPM=16, MIC=390"
2026-07-05T15:58:28.697,18.115,123558,22.71,16,398,,"IR=123558, BPM=22.71, Avg BPM=16, MIC=398"
2026-07-05T15:58:28.716,18.135,123538,22.71,16,347,,"IR=123538, BPM=22.71, Avg BPM=16, MIC=347"
2026-07-05T15:58:28.736,18.154,123486,22.71,16,411,,"IR=123486, BPM=22.71, Avg BPM=16, MIC=411"
2026-07-05T15:58:28.755,18.173,123465,22.71,16,396,,"IR=123465, BPM=22.71, Avg BPM=16, MIC=396"
2026-07-05T15:58:28.774,18.193,123388,22.71,16,379,,"IR=123388, BPM=22.71, Avg BPM=16, MIC=379"
2026-07-05T15:58:28.793,18.212,123323,22.71,16,379,,"IR=123323, BPM=22.71, Avg BPM=16, MIC=379"
2026-07-05T15:58:28.812,18.230,123225,22.71,16,375,,"IR=123225, BPM=22.71, Avg BPM=16, MIC=375"
2026-07-05T15:58:28.831,18.249,123110,22.71,16,407,,"IR=123110, BPM=22.71, Avg BPM=16, MIC=407"
2026-07-05T15:58:28.851,18.270,122986,22.71,16,380,,"IR=122986, BPM=22.71, Avg BPM=16, MIC=380"
2026-07-05T15:58:28.870,18.289,122842,22.71,16,378,,"IR=122842, BPM=22.71, Avg BPM=16, MIC=378"
2026-07-05T15:58:28.889,18.308,122657,22.71,16,426,,"IR=122657, BPM=22.71, Avg BPM=16, MIC=426"
2026-07-05T15:58:28.908,18.326,122451,22.71,16,373,,"IR=122451, BPM=22.71, Avg BPM=16, MIC=373"
2026-07-05T15:58:28.927,18.345,122227,22.71,16,350,,"IR=122227, BPM=22.71, Avg BPM=16, MIC=350"
2026-07-05T15:58:28.946,18.364,122038,22.71,16,382,,"IR=122038, BPM=22.71, Avg BPM=16, MIC=382"
2026-07-05T15:58:28.965,18.383,121775,22.71,16,366,,"IR=121775, BPM=22.71, Avg BPM=16, MIC=366"
2026-07-05T15:58:28.985,18.403,121498,22.71,16,367,,"IR=121498, BPM=22.71, Avg BPM=16, MIC=367"
2026-07-05T15:58:29.004,18.422,121196,22.71,16,347,,"IR=121196, BPM=22.71, Avg BPM=16, MIC=347"
2026-07-05T15:58:29.023,18.442,120967,22.71,16,362,,"IR=120967, BPM=22.71, Avg BPM=16, MIC=362"
2026-07-05T15:58:29.042,18.460,120805,22.71,16,377,,"IR=120805, BPM=22.71, Avg BPM=16, MIC=377"
2026-07-05T15:58:29.061,18.479,120644,22.71,16,352,,"IR=120644, BPM=22.71, Avg BPM=16, MIC=352"
2026-07-05T15:58:29.080,18.499,120521,22.71,16,398,,"IR=120521, BPM=22.71, Avg BPM=16, MIC=398"
2026-07-05T15:58:29.099,18.517,120403,22.71,16,398,,"IR=120403, BPM=22.71, Avg BPM=16, MIC=398"
2026-07-05T15:58:29.119,18.537,120309,22.71,16,379,,"IR=120309, BPM=22.71, Avg BPM=16, MIC=379"
2026-07-05T15:58:29.138,18.556,120278,22.71,16,368,,"IR=120278, BPM=22.71, Avg BPM=16, MIC=368"
